chave,titulo,squad,squad_original,lake,fase,recurso,mediana_usada,data_inicio,data_fim,duracao_dias,status_atual
BF3E4-3030,[COMERCIAL - 87] QFS Argentina - Respondent (Staging e DataMart) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 9,"3,54 dias",01/06/2026,05/06/2026,3.54,Open
BF3E4-3038,[COMERCIAL - 88] QFS Argentina - Respondent (Analytics) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 3 - Squad 6,"7,01 dias",25/05/2026,01/06/2026,7.01,Open
BF3E4-3038,[COMERCIAL - 88] QFS Argentina - Respondent (Analytics) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 6,"3,54 dias",05/06/2026,08/06/2026,3.54,Open
BF3E4-3045,[COMERCIAL - 89] QFS Argentina - Checkbox (Staging e DataMart) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 4 - Squad 6,"7,01 dias",25/05/2026,01/06/2026,7.01,Open
BF3E4-3045,[COMERCIAL - 89] QFS Argentina - Checkbox (Staging e DataMart) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 4,"3,54 dias",05/06/2026,08/06/2026,3.54,Open
BF3E4-3053,[COMERCIAL - 90] QFS Argentina - Checkbox (Analytics) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 5 - Squad 6,"7,01 dias",25/05/2026,01/06/2026,7.01,Open
BF3E4-3053,[COMERCIAL - 90] QFS Argentina - Checkbox (Analytics) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 1,"3,54 dias",05/06/2026,08/06/2026,3.54,Open
BF3E4-3060,[COMERCIAL - 91] QFS Argentina - Verbatim e Canceled - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 6 - Squad 6,"7,01 dias",25/05/2026,01/06/2026,7.01,Open
BF3E4-3060,[COMERCIAL - 91] QFS Argentina - Verbatim e Canceled - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 3,"3,54 dias",05/06/2026,08/06/2026,3.54,Open
BF3E4-3075,[COMERCIAL - 92] QFS Global - Analytics Restricted e Population - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 7 - Squad 6,"7,01 dias",25/05/2026,01/06/2026,7.01,Open
BF3E4-3075,[COMERCIAL - 92] QFS Global - Analytics Restricted e Population - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 2,"3,54 dias",05/06/2026,09/06/2026,3.54,Open
BF3E4-3084,[COMERCIAL - 93] QFS Global - Analytics - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 8 - Squad 6,"7,01 dias",25/05/2026,01/06/2026,7.01,Open
BF3E4-3084,[COMERCIAL - 93] QFS Global - Analytics - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 9,"3,54 dias",05/06/2026,09/06/2026,3.54,Open
BF3E4-3114,[COMERCIAL - 97] Entidade: Sigma - TAMANHO: P,SQUAD_6,SQUAD_6,COMERCIAL,Dev,Dev 9 - Squad 6,"7,01 dias",25/05/2026,01/06/2026,7.01,Open
BF3E4-3114,[COMERCIAL - 97] Entidade: Sigma - TAMANHO: P,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 18,"3,54 dias",05/06/2026,09/06/2026,3.54,Open
BF3E4-3421,[RH - 26] Entidade: Vetorh - Views Manufacturing - TAMANHO: G,SQUAD_7,SQUAD_7,RH,QA,QA - 19,"1,93 dias",05/06/2026,05/06/2026,0.0,Test
BF3E4-3728,[RH - 63] Entidade: Org Design Lider Substituto - TAMANHO: P,SQUAD_7,SQUAD_7,RH,QA,QA - 20,"1,93 dias",05/06/2026,07/06/2026,1.93,Test
BF3E4-3752,[RH - 66] Entidade: Learning Completed Training (Ano Corrente) - TAMANHO: P,SQUAD_7,SQUAD_7,RH,QA,QA - 21,"1,93 dias",05/06/2026,05/06/2026,0.14,Test
BF3E4-3738,[RH - 64] Entidade: People Analytics Restricted R048 - TAMANHO: P,SQUAD_7,SQUAD_7,RH,QA,QA - 19,"1,93 dias",05/06/2026,07/06/2026,1.93,IN DEVELOPMENT
BF3E4-3785,[RH - 70] Entidade: External Tables - Lote 1 - TAMANHO: G,SQUAD_7,SQUAD_7,RH,QA,QA - 5,"1,93 dias",05/06/2026,07/06/2026,1.93,IN DEVELOPMENT
